0.png	\int _ { - \epsilon } ^ \infty d l \: { \rm e } ^ { - l \zeta } \int _ { - \epsilon } ^ \infty d l ' { \rm e } ^ { - l ' \zeta } l l ' { l ' - l \over l + l ' } \{ 3 \, \delta ' ' ( l ) - { 3 \over 4 } t \, \delta ( l ) \} = 0 .
87574.png	A _ \mu = U ^ \dagger \nabla _ \mu U = U ^ \dagger \partial _ \mu U \
87580.png	\pounds = \frac { 1 } { 2 A ^ { 2 2 } } \left ( \dot { x } ^ { \mu } + \tilde { \theta } _ { a } \gamma ^ { \mu } \partial _ { \tau } \theta ^ { a } \right ) ^ { 2 } = \dot { x } \cdot p - \frac { 1 } { 2 }
87597.png	W _ { \rm e f f } = S \left [ \ln \left ( \frac { S ^ { - 1 } \det T \cdot f ( Z ) } { \Lambda ^ { 2 N _ f - 3 } } \right ) + 1 \right ] ,
87606.png	
87698.png	t = x ^ 0 = \tau , \hspace * { 5 m m } x ^ i = x ^ i ( \sigma ) ; i = 1 , 2 , 3 .
87700.png	\int _ R ^ { R \sqrt { t } } \frac { \mathrm { d } u } { u } h \left ( \frac { u } { R } \right )
87714.png	\begin {tabular} { | c | c | c | c | c | } \hline 1 & 2 & \cdots & 2 & 1 \\ \hline \end {tabular} = 0 .
87752.png	\Gamma _ { l , s } ^ { \, \alpha , \, \alpha _ { 0 } } ( p ) = \underbrace { \Gamma _ { l , s } ^ { \, \alpha , \, \alpha _ { 0 } } ( 0 ) } _ { \rm { a s \ i n \ ( \ref { g a o } } ) } + \frac { 1 } { 2 } \sum _ { \mu , \nu = 0 } ^ { 3 } \, p _ { \mu } \, p _ { \nu } \, \partial _ { \mu } \, \partial _ { \nu } \, \Gamma _ { l , s } ^ { \, \alpha , \, \alpha _ { 0 } } ( 0 )
87787.png	S _ { W Z } = \frac { \kappa } { 1 2 \pi } \int _ { M } t r ( g ^ { - 1 } d g ) ^ { 3 } - \sum _ { i = 1 } ^ n \frac { 1 } { 2 \pi \alpha ' } \int _ { D ^ { ( i ) } } g ^ * ( B + 2 \pi \alpha ' F ) .
87792.png	q = z + 7 7 0 z ^ 2 + 1 0 1 4 2 7 5 z ^ 3 + \ldots
87802.png	D \left ( \begin {array} { l } f ^ q _ \pm \\ f ^ { - q } _ \pm \end {array} \right ) = d \left ( \begin {array} { l } f ^ q _ \pm \\ f ^ { - q } _ \pm \end {array} \right ) - i q A _ \pm \sigma _ 3 \left ( \begin {array} { l } f ^ q _ \pm \\ f ^ { - q } _ \pm \end {array} \right ) .
87826.png	\xi = \pmatrix { \xi _ 1 \cr \xi _ 2 \cr } ~ , ~ ~ ~ ~ \xi ^ \dag = \pmatrix { \xi _ 1 ^ * & \xi _ 2 ^ * \cr }
87836.png	C _ { i _ { 1 } i _ { 2 } . . . i _ { n } } = \sqrt { \frac { [ r _ 1 ] _ { q ^ 2 } ! } { \left ( [ r _ 1 ] _ { q } ! \right ) ^ 3 } \cdot \frac { [ r _ 2 ] _ { q ^ 2 } ! } { \left ( [ r _ 2 ] _ { q } ! \right ) ^ 3 } \cdot . . . \cdot \frac { [ r _ m ] _ { q ^ 2 } ! } { \left ( [ r _ m ] _ { q } ! \right ) ^ 3 } } \mbox { \quad w i t h \quad } m \le n
87849.png	\left ( \partial ^ { \mu } A _ { \mu } ( x ) - m \theta ( x ) \right ) ^ { ( + ) } | \; \rangle = 0 \makebox [ 7 m m ] { } { \rm f o r } \; \forall x .
87860.png	\arg ( z ) \in ( - \frac { \pi } { 2 } , \frac { 3 \pi } { 2 } ] \protect
87885.png	W _ X \ = \ \lambda H \Phi { \bar H } \ + \ X H { \bar H } \ .
87895.png	- 2 \mathrm { t r } \ln \left ( \bar { D } ^ 2 \right ) - \frac { 1 } { 2 } \mathrm { t r } \ln E + \frac { 1 } { 2 } \mathrm { t r } \left ( G _ 0 F \right ) + \frac { 1 } { 4 } \mathrm { t r } \left ( G _ 0 F G _ 0 F \right ) + \frac { 1 } { 6 } \mathrm { t r } \left ( G _ 0 F G _ 0 F G _ 0 F \right ) + \ldots
87952.png	W _ { j + 1 } ( X , p ) = e ^ { D \partial _ p ^ 2 }
87956.png	\chi _ B = \frac { m n ( H - 1 ) + \chi _ { B 0 } \, \Delta _ { ( m , n ) } \, e ^ { \phi _ { B 0 } } } { n ^ 2 H + ( m - \chi _ { B 0 } n ) ^ 2 \, e ^ { 2 \phi _ { B 0 } } } ,
88005.png	E _ { \pm } = \frac { 1 } { 2 } \int d ^ { 3 } r \, [ \chi ^ { \dag } _ { + } \, \chi ^ { \dag } _ { - } ] \left [ \begin {array} { c c } 0 & \mbox { { \boldmath \sigma } } \! \cdot \! { \bf p } - \mbox { { \boldmath \sigma } } \! \cdot \! { \bf A } ^ { a } T ^ { a } - i G \Phi ^ { a } T ^ { a } \\ \mbox { { \boldmath \sigma } } \! \cdot \! { \bf p } - \mbox { { \boldmath \sigma } } \! \cdot \! { \bf A } ^ { a } T ^ { a } + i G \Phi ^ { a } T ^ { a } & 0 \\ \end {array} \right ] \left [ \begin {array} { c } \chi _ { + } \\ \chi _ { - } \end {array} \right ] ,
88019.png	\Phi ^ { \dag } = ( \Pi ^ i _ t , A ^ i _ t , \pi _ 2 , \phi _ 2 ) .
88023.png	G _ { j j + 1 } - G _ { j + 1 \, k } = - { A \sp \prime _ { j j + 1 } \over 1 - A _ { j j + 1 } }
88036.png	A _ { D , m } = \oint _ { \alpha _ { m } } { x \, \d P \over 2 i \pi y }
88051.png	J _ a ( w ) J _ b ( z ) \sim \frac { k ^ 2 \delta _ { a b } } { { ( w - z ) } ^ 2 } + \frac { f _ { a b } ^ c J _ c ( z ) } { w - z } + { \rm R e g . }
88071.png	\Gamma _ { q } \sim \Gamma ' _ { q } \Leftrightarrow u ( \Gamma _ { q } ) = u ( \Gamma ' _ { q } )
88121.png	w _ { l } = \frac { q ^ { l + 1 } + q ^ { - l } } { q + 1 } .
88128.png	J ^ { ( 1 ) } = \lambda \setlength { \unitlength } { 1 m m } \begin {picture} ( 1 6 , 1 0 ) ( - 2 , 0 ) \thicklines \put ( 4 , 1 ) { \circle { 8 } } \put ( - 0 . 2 5 , 1 ) { \circle * { 1 } } \end {picture}
88134.png	\Delta ( \zeta ^ { ( j ) } _ { m } ) = \sum _ { n \in I _ { j } } W ^ { j } _ { m n } \otimes \zeta ^ { ( j ) } _ { n } ,
88148.png	\frac { 1 } { 2 \pi } \Omega = \left ( \begin {array} { c c c c c } 0 & x _ { 1 } & & & \\ - x _ { 1 } & 0 & & & \\ & & 0 & x _ { 2 } & \\ & & - x _ { 2 } & 0 & \\ & & & & \ddots \end {array} \right ) .
88191.png	\psi = 1 + \sum _ { p = 1 } ^ m \frac { R _ p } { \zeta - \mu _ p } \hspace { 1 c m } , \hspace { 1 c m } R _ p = \sum _ { l = 1 } ^ m T _ l \Gamma ^ { l p } T ^ { \dag } _ p ,
88204.png	H = \left \{ \begin {array} { l } 1 + \frac { Q _ p } { r ^ { 7 - p } } , \qquad 3 \le p \le 6 , \\ 1 - Q _ 7 \, { \rm l n } \, r , \quad p = 7 , \end {array} \right .
88242.png	\begin {array} { l } \rho ( \theta ) \rho ( - \theta ) ( \sin ^ 2 \frac { n \gamma } { 1 6 } + \sinh ^ 2 \frac { \theta } { 2 } ) \cosh ^ 2 \frac { \theta } { 2 } = 1 \vspace { 3 m m } \\ \rho ( \theta ) = \rho ( i \pi - \theta ) \end {array} \; .
88302.png	
88363.png	S _ { e f f } [ \chi _ < , \chi _ < ' , \nu , \xi , \eta ] = R e S _ { \L _ c } [ \chi _ < , \chi _ < ' ] - \int d ^ 4 x \Big [ R _ - ( x ) \nu ( x ) + Q _ - ( x ) \xi ( x ) + \chi _ - ( x ) \eta ( x ) \Big ] .
88392.png	\hspace { - 1 . 0 i n } R ^ { r e g } _ { D _ k } ( \beta _ { 2 k } ) = { \tiny \left ( \begin {array} { c c c c c c c } \left ( \matrix { 1 & 0 \cr 0 & - 1 } \right ) & 0 & 0 & 0 & 0 & 0 & 0 \\ 0 & \left ( \matrix { 1 & 0 \cr 0 & - 1 } \right ) & 0 & 0 & 0 & 0 & 0 \\ 0 & 0 & \left ( \matrix { \omega _ { 2 k } & 0 \cr 0 & \omega _ { 2 k } ^ { - 1 } } \right ) & 0 & 0 & 0 & 0 \\ 0 & 0 & 0 & \left ( \matrix { \omega _ { 2 k } & 0 \cr 0 & \omega _ { 2 k } ^ { - 1 } } \right ) & 0 & 0 & 0 \\ \vdots & \vdots & \vdots & \vdots & \ddots & \vdots & \vdots \\ 0 & 0 & 0 & 0 & 0 & \left ( \matrix { \omega ^ { k - 1 } _ { 2 k } & 0 \cr 0 & \omega _ { 2 k } ^ { - ( k - 1 ) } } \right ) & 0 \\ 0 & 0 & 0 & 0 & 0 & 0 & \left ( \matrix { \omega ^ { k - 1 } _ { 2 k } & 0 \cr 0 & \omega _ { 2 k } ^ { - ( k - 1 ) } } \right ) \end {array} \right ) }
88447.png	d s _ 5 ^ 2 = - F ( T , r ) l ^ 2 d T ^ 2 + G ( T , r ) d r ^ 2 + r ^ 2 d \Sigma ^ 2 _ K .
88494.png	A ( S ) = \int _ S E ( p ) d \mu _ 0 ( p ) ,
88500.png	m \: \ddot x ^ \mu = F ^ \mu ( x , \dot x ) .
88571.png	E _ { \hat r } = \varepsilon B _ { \hat { ~ } } ,
88582.png	S _ { f i } \equiv \left \langle { { p _ 3 , p _ 4 ; o u t } } \mathrel { \left | { \vphantom { { o u t \, p _ 3 , p _ 4 } { p _ 1 , p _ 2 \, i n } } } \right . \kern - \nulldelimiterspace } { { p _ 1 , p _ 2 ; i n } } \right \rangle = \delta _ { f i } + { { i { \cal M } _ { f i } } \over { \prod \limits _ i { \sqrt { ( 2 \pi ) ^ 3 2 \omega _ i } } } } ( 2 \pi ) ^ 4 \delta ^ { ( 4 ) } ( p _ 1 + p _ 2 - p _ 3 - p _ 4 )
88594.png	{ \cal H } _ 3 = \left ( \begin {array} { c } H _ 3 ^ { ( 1 ) } \\ H _ 3 ^ { ( 2 ) } \end {array} \right ) ,
88651.png	
88654.png	\sum \limits _ { m _ 1 . . . m _ { n - 2 } r < s } a _ { i _ 1 m _ 1 } . . . a _ { i _ { n - 2 } m _ { n - 2 } } \epsilon _ { m _ 1 . . . m _ { n - 2 } r s } \left ( a _ { k r } a _ { k s } - q a _ { k s } a _ { k r } \right ) = 0
88663.png	
88693.png	
88718.png	U ^ 3 ( \mbox { \boldmath r } , t ) = A ( t ) ~ U _ 0 ^ 3 ( \mbox { \boldmath r } ) ~ A ^ \dag ( t )
88736.png	H \Psi _ { \vec { p } , s } = E ( \vec { p } ) \Psi _ { \vec { p } , s } ~ ~ . \footnotemark [ 6 ]
88783.png	\begin {array} { c c c c c c c } \beta _ 1 \, & = & \, \alpha _ 2 + 2 \alpha _ 3 + 3 \alpha _ 4 + 2 \alpha _ 5 + 2 \alpha _ 6 + \alpha _ 7 & ; & \beta _ 2 & = & \alpha _ 1 \cr \beta _ 3 \, & = & \, \alpha _ 2 & ; & \beta _ 4 & = & \alpha _ 3 \cr \beta _ 5 \, & = & \, \alpha _ 4 & ; & \beta _ 6 & = & \alpha _ 6 \cr \beta _ 7 \, & = & \, \alpha _ 7 & \null & \null & \null & \null \cr \end {array}
88792.png	M ^ 2 + \Sigma ^ 2 - \frac { P ^ 2 } { 4 } - \frac { Q ^ 2 } { 4 } = 0 \; .
88857.png	{ \cal D } ^ \dagger _ \Gamma : \left ( \bar { Q } \otimes \bar { V } \otimes { \cal T } \right ) _ \Gamma \oplus \left ( \bar { W } \otimes { \cal T } \right ) _ \Gamma \rightarrow S \otimes \left ( \bar { V } \otimes { \cal T } \right ) _ \Gamma ,
88871.png	{ \cal L } _ { 4 } = \frac { 1 } { 8 } ( R ^ { \mu \nu \rho \sigma } R _ { \mu \nu \rho \sigma } - 4 R ^ { \mu \nu } R _ { \mu \nu } + R ^ { 2 } ) + b ( F ^ { 2 } ) ^ { 2 } + c F ^ { 2 } ( \nabla \phi ) ^ { 2 } .
88919.png	y = - \sqrt { 2 K } \phi _ r \phi ^ { - 1 } + \sum _ { j = 0 } ^ 3 \beta _ j \phi ^ j ; \hspace * { 5 m m } \beta _ j = \beta _ j ( r , t ) .
88945.png	T ' \equiv \o T \cong \bar T \equiv - T ^ { \rm t }
89022.png	\Psi ( x _ \mu , - y ) = + \gamma ^ 5 \Psi ( x _ \mu , y ) ~ ~ ~ ~ \mbox { a t y = \pi r } ~ .
89042.png	
89109.png	\mbox { \cal { A } } ( Z ) = \int d ^ { 1 + m } x \ \mbox { t r } ( I + Z ^ { \dag } Z ) ^ { - 1 } \partial ^ { \mu } Z ^ { \dag } ( I ' + Z Z ^ { \dag } ) ^ { - 1 } \partial _ { \mu } Z ,
89135.png	{ \mathcal Z } _ { ( \alpha \beta ) } = \int d ^ 3 x \ \sigma ^ { 0 i } _ { \alpha \beta } \partial _ i \left ( - \frac { 4 i } { 3 } { \kern . 3 5 e m \bar { \kern - . 3 5 e m { \widetilde J } } } + \frac { i } { 3 } D ^ 2 K \right ) \displaystyle { \biggl \vert } = - 3 \int d ^ 3 x \ \sigma ^ { 0 i } _ { \alpha \beta } \partial _ i \ { \bar \mathcal W } \displaystyle { \biggl \vert } \ .
89145.png	Q _ 1 = 2 ^ { 1 / 4 } i \sqrt { \pi \over L } \sum _ { n = 1 } ^ { \infty } \sqrt { n } \left [ A _ { i j } ( n ) B _ { i j } ^ { \dag } ( n ) - A _ { i j } ^ { \dag } ( n ) B _ { i j } ( n ) \right ] .
89148.png	L = i \bar { \alpha } ^ { \mu } ( \partial _ { \mu } + A ^ R _ { \mu } ) , \quad \tilde { L } = i \alpha _ { \mu } \partial _ { \mu }
89177.png	a { \mathbin { \rm \vphantom { X } \hspace { 1 . 1 p t } \hspace { - 0 . 5 p t } \_ \hspace { - 0 . 3 e m } \_ \vrule w i d t h 0 . 5 p t \hspace { 1 . 7 p t } } } b = g ( a , b ) ,
89181.png	{ \hat \phi } ^ \prime = - { \hat \phi } \, , \hspace { 1 . 5 t r u e c m } ( d \hat B ) ^ \prime = e ^ { - 2 \hat \phi } \ { } ^ * ( d \hat B ) \, ,
89200.png	
89220.png	[ \pi _ { \mu } , \pi _ { \nu } ] = 0 \, , \quad [ \pi _ { \mu } ^ { \dag } , \pi _ { \nu } ^ { \dag } ] = 0 \, , \quad [ \pi _ { \mu } , \pi _ { \nu } ^ { \dag } ] = i \hbar \partial _ { \mu } \Gamma _ { \nu } = i \hbar \partial _ { \mu } \Gamma _ { \nu }
89234.png	{ \cal T _ { \rm 0 } } \prod ( x - z ) ^ { \kappa } = - \frac { ( N + M ) ( \kappa + 1 ) - 2 } { 4 } \prod ( x - z ) ^ { \kappa } .
89277.png	I \left [ \, \Phi \ , X \, \right ] \equiv \frac { \mu _ 0 } { 2 } \, \int _ \Sigma d ^ 2 \sigma \, \left [ \, { \mathrm { d e t } ( \gamma _ { m n } ) \over \Phi ( \, \sigma \, ) } + \Phi ( \, \sigma \, ) \, \right ]
89312.png	
89323.png	\partial _ { z } ^ { 3 } H _ { \bar z \bar z } = \partial _ { \bar z } T _ { z z } - 2 ( \partial _ { z } H _ { \bar z \bar z } ) T _ { z z } - H _ { \bar z \bar z } \partial _ { z } T _ { \bar z \bar z }
89327.png	S [ A , E ] = \int { \rm T r } [ E \wedge E \wedge F ] .
89365.png	t _ { \mu \nu } ( x ; \gamma ) = { 2 \over 3 } \left ( t ^ 1 _ \mu t ^ 2 _ \nu + t ^ 2 _ \mu t ^ 1 _ \nu - { 1 \over 2 } g _ { \mu \nu } ( t ^ 1 \cdot t ^ 2 ) \right ) - { 1 \over 3 } \left ( t ^ 1 _ \mu t ^ 1 _ \nu + t ^ 2 _ \mu t ^ 2 _ \nu - { 1 \over 2 } g _ { \mu \nu } \right ) _ .
89369.png	{ \cal E } = \frac { 1 } { - g ^ { t t } } \left \{ - g ^ { t \phi } p _ \phi + \left [ \left ( g ^ { t \phi } p _ \phi \right ) ^ 2 + ( - g ^ { t t } ) \left ( \mu ^ 2 + g ^ { \phi \phi } p _ \phi ^ 2 + g ^ { r r } p _ r ^ 2 + g ^ { \theta \theta } p _ \theta ^ 2 \right ) \right ] ^ { 1 / 2 } \right \} - q A _ t .
89371.png	\Xi _ R \rightarrow \theta ( \mbox { \boldmath r } ) ~ \Xi _ R ~ B ^ \dag
89376.png	F ' ^ { \dag } \left ( \frac { \partial { g ' } _ { \mu \nu } ( x , l ) } { \partial l _ { i } } \right ) \equiv - 4 { \nabla ' } ^ { \mu } \frac { \partial { g ' } _ { \mu \nu } ( x , l ) } { \partial l _ { i } } - 2 \left ( C - \frac { 2 } { D } \right ) \partial _ { \nu } \left [ { g } ' ^ { \alpha \beta } ( x , l ) \frac { \partial { g ' } _ { \alpha \beta } ( x , l ) } { \partial l _ { i } } \right ] = 0 \; .
89416.png	{ \rm E } _ { \psi } \equiv \left ( D \! \! \! \! \slash + m \right ) \psi + { \cal O } ( 2 ) .
89433.png	\delta m _ { 0 } ^ { 2 } = - g ^ { 2 } \Sigma ( m ^ { 2 } ) \ ,
89523.png	
89543.png	( \tilde { \alpha } ^ R _ 1 ) ^ { \dag } ( \alpha ^ S _ 1 ) ^ { \dag } \mid 0 > \equiv \mid \Omega _ { 1 \hspace * { 1 m m } 1 } ^ { \tilde { R } S } > .
89606.png	( \mbox { C o n t r i b u t i o n f r o m ( \ref { 4 3 } ) t o ( \ref { 3 4 } ) } ) = \prod _ { { C _ { \alpha } \cap C _ { \beta } \neq \emptyset } \atop { \alpha \neq \beta \; \alpha , \beta \in E d g e ( \Gamma ) } } \frac { 1 } { \frac { \lambda _ { i } - \lambda _ { j } } { d _ { \alpha } } + \frac { \lambda _ { i } - \lambda _ { l } } { d _ { \beta } } }
89611.png	\begin {array} { c } [ ( 2 , \chi _ { 1 } ^ { 1 } ) \oplus ( - 1 , \chi _ { 2 } ^ { 1 } ) ] \otimes ( ( a + 2 i ) - k ' , \chi _ 1 ^ { 2 } ~ o r ~ \chi _ 1 ^ { 4 } ) \\ = ( ( a + 2 ( i + 1 ) ) - k ' , \chi _ 1 ^ { 2 } ~ o r ~ \chi _ 1 ^ { 4 } ) \oplus ( ( a + 2 ( i - 1 ) ) - ( k ' - 1 ) , \chi _ { 2 } ^ { k ' - 1 } ) ) \end {array}
89614.png	\tilde { C } = - \frac { 3 } { 2 } g ^ { 2 } \delta ^ { a b } \int \frac { d ^ { 4 } k } { ( 2 \pi ) ^ { 4 } } d ^ { 2 } \theta d ^ { 2 } { \overline \theta } \, \frac { 1 } { ( k ^ { 2 } + m ^ { 2 } ) } \left \{ V ^ { a } ( p , \theta , { \overline \theta } ) V ^ { b } ( - p , \theta , { \overline \theta } ) \right \} \, .
89638.png	| f \rangle = \int \left [ \prod _ { k = 1 } ^ N d ^ 2 z _ k \right ] f ( z _ 1 , z _ 2 , \cdots , z _ N ) e ^ { - { 1 \over 2 } \sum _ { k = 1 } ^ N | z _ k | ^ 2 } \psi ^ \dag _ { \rm L L L } ( z _ 1 ) \psi ^ \dag _ { \rm L L L } ( z _ 2 ) \cdots \psi ^ \dag _ { \rm L L L } ( z _ N ) | 0 \rangle .
89642.png	\langle . . . \rangle = \frac { 1 } { Z ( t ) } \int \frac { d ^ { 4 } k } { ( 2 \pi ) ^ { 4 } } \sum _ { n = 0 } ^ \infty e ^ { - \omega _ { n } ^ { 2 } t } e ^ { - k ^ { 2 } t / 2 } . . . e ^ { - k ^ { 2 } t / 2 } ,
89648.png	i , j = 1 \ldots d \quad \sp \mu , \nu = 0 \ldots ( 9 - d )
89680.png	\delta S _ { 0 } \left [ \bar { \Psi } _ a , \Psi _ a , A ^ \mu _ a \right ] = \int d x \left [ - \xi \epsilon _ a \left ( \partial \cdot A _ a \right ) { \, \lower 1 . 0 p t \vbox { \hrule \hbox { \vrule h e i g h t 0 . 3 c m \hspace { 0 . 2 8 c m } \vrule h e i g h t 0 . 3 c m } \hrule } \, } + J _ { a } ^ { \mu } \partial _ { \mu } - i e \left ( \bar { \eta } _ a \psi _ a - \bar { \psi } _ a \eta _ a \right ) \right ] \Lambda _ a \, ,
89701.png	[ \O _ { 1 2 } , \O _ { 1 3 } ] = 2 \theta \quad .
89795.png	d l ^ 2 = \overline g _ { \, m n } \, d \sigma ^ m \, d \sigma ^ n = - e ^ 2 ( \, \tau \, ) \, \, d \tau ^ 2 + h _ { i j } ( \, \vec s \, ) \, \, d s ^ i \, \, d s ^ j
89859.png	- { \partial } ^ 2 _ t \phi - 3 { \partial } _ t \phi + e ^ { - 2 t } \nabla ^ 2 \phi = m ^ 2 H ^ { - 2 } \phi
89920.png	\Pi _ \pm ^ I = \nabla _ \pm X ^ I , \hspace { 2 t r u e c m } \Pi _ \pm ^ { I * } = \nabla _ \pm X ^ { I * } .
89931.png	\int ^ \infty _ { - \infty } { \psi ^ \dag } ( x , \tau ) _ \alpha , \ \psi ( x , \tau ) _ \beta d x = Z ( \tau ) \delta _ { \alpha \beta } .
89965.png	\left \langle { { E ' , l ' , m ' ; i n } } \mathrel { \left | { \vphantom { { E ' , l ' , m ' ; i n } { E , l , m } } } \right . \kern - \nulldelimiterspace } { { E , l , m ; i n } } \right \rangle = { V \over { ( 2 \pi ) ^ 3 } } \delta _ { l l ' } \delta _ { m m ' } \delta ( E - E ' )
89972.png	\Delta ^ \dagger = a ^ \dag + x b ^ \dag = \left ( \matrix { I & B _ 2 + z _ 2 & B _ 1 + z _ 1 \cr J ^ \dagger & - B _ 1 ^ \dagger - \bar z _ 1 & B _ 2 ^ \dagger + \bar z _ 2 } \right ) .
90021.png	\dot L = { d \over { d t } } L = [ L , M ]
90024.png	
90215.png	H _ { \mbox { \tiny 1 / 2 d o u b l e t } } = S U ( 2 ) ' \times P .
90243.png	e _ i = ( \stackrel { 1 } { 0 } , \cdots , \stackrel { i - 1 } { 0 } , \stackrel { i } { 1 } , \stackrel { i + 1 } { 0 } , \cdots , \stackrel { k } { 0 } ) ^ \dag .
90308.png	{ \widehat C } \equiv \sum _ n \ { 1 \over n ! } \; { \widehat C } _ { \alpha _ 1 \cdots \alpha _ n } \; d \zeta ^ { \alpha _ 1 } \wedge \cdots \wedge d \zeta ^ { \alpha _ n } \
90319.png	F [ \phi , \psi ; z ^ 0 ] = \int d z ^ 1 \left ( \phi \, \left ( \partial _ 1 \psi - { \frac 1 g } ~ \omega _ 1 ( z ) \right ) - \frac { 2 m } { g ^ 2 } \, e ^ { g \phi } \, e _ 1 ^ a ( z ) V _ a ( \psi ) \right ) \
90335.png	| N _ k , M _ l \rangle \equiv | A ^ { \dag } _ { n _ { 1 } } \rangle \star . . . | A ^ { \dag } _ { n _ k } \rangle \star | \Xi \rangle \star | A _ { m _ 1 } \rangle \star . . . | A _ { m _ l } \rangle
90357.png	
90358.png	P _ { \lambda } ^ { ( \gamma , N ) } ( x _ 1 , \dots , x _ n ) = \lim _ { p \rightarrow 1 } P _ { \lambda } ( \o _ N p , \o _ N p ^ { \gamma } ; x _ 1 , \dots , x _ n ) .
90389.png	| n \rangle = | { \vec { p } } _ 1 \nu _ 1 ; { \vec { p } } _ 2 \nu _ 2 . . . \rangle = \prod _ i { { { ( 2 \pi ) } ^ { { \nu } \over 2 } } \over { V ^ { 1 \over 2 } } } { 1 \over { ( \nu _ i ! ) ^ { 1 \over 2 } } } a ^ { \dag \nu _ i } ( { \vec { p } } _ i ) | \, \, 0 \rangle
90392.png	
90422.png	m _ 1 + m _ 2 + \ldots + m _ r = k = \mathbf { N } ( K )
90427.png	h _ { j ' } ^ { ( B ) } = \sum _ { i = 1 } ^ { k ' } | i \rangle _ { j ' } \, e p s i l o n _ i \ _ { j ' } \hspace * { - 1 p t } \langle i | + \sum _ { \alpha = 1 } ^ { k ^ { n _ s } - k ' } | \alpha \rangle _ { j ' } \ \epsilon _ { \alpha } \ _ { j ' } \hspace * { - 1 p t } \langle \alpha |
90460.png	H \longrightarrow H _ 0 + H _ { \mathrm { m } } + H _ { \mathrm { i n t } }
90523.png	| z _ 1 , z _ 2 , \cdots z _ N \rangle = \psi ^ \dag _ { \rm L L L } ( z _ 1 ) \psi ^ \dag _ { \rm L L L } ( z _ 2 ) \cdots \psi ^ \dag _ { \rm L L L } ( z _ N ) | 0 \rangle ,
90544.png	V = - 2 \sum ^ 3 _ { k = 1 } { \cal P } ( x - x _ i ) \ , \quad \sum ^ 3 _ { i = 1 } x _ i = 0 \ ,
90562.png	p \; = \; \min \left \{ n > 0 \; \mid \; q ^ { 2 n } = 1 \right \} \; = \; \min \left \{ n > 0 \; \mid \; q ^ { n \rule { 0mm } { 2mm } } \in \{ \pm 1 \} \right \} .
90578.png	\Delta X _ i = X _ i ' + X _ i ' ' , \rule { 1cm } { 0cm } \Delta Y = Y ' + Y ' ' + X _ 1 ' X _ 2 ' ' ,
90589.png	m \: \ddot x _ i = F _ i ( x , \dot x , t ) .
90611.png	m - m _ 0 = \left [ \Sigma ( p ^ 2 , M ) \right ] _ { \sqrt { p ^ 2 } = m } = m _ 0 \frac { 3 \alpha } { 4 \pi } \left ( \ln \frac { M ^ 2 } { m _ 0 ^ 2 } + \frac { 1 } { 2 } \right )
90615.png	\matrix { n = p + 2 & d = p + 1 \cr \null & { \tilde d } = D - p - 3 \cr }
90646.png	\protect \xi _ p \sim \exp ( \frac { 4 \pi } { 3 \alpha _ { b a r e } } ) \
90649.png	\displaystyle { \raisebox { 0 . 6 e x } { \scriptsize { * } } } \! S _ { j i } ( K ) = - \gamma _ 0 \left [ \displaystyle { \raisebox { 0 . 6 e x } { \scriptsize { * } } } \! S _ { \underline { i } \underline { j } } ( K ) \right ] ^ \dagger \gamma _ 0 \, .
90691.png	( - \l ) ^ n \sum _ { \{ j , i \} } 1 = ( - \l ) ^ n \sum _ { \{ j \} } \prod _ e ( 2 j _ e + 1 ) .
90740.png	( S _ 0 , \triangle _ 2 ) + ( S _ 0 , { \sl A } _ { 2 , { \rm n l } } ) _ { \rm l o c } + ( S _ 1 , \triangle _ 1 ) = 0 ,
90741.png	d \delta _ m \lambda _ i = 0 \hspace { . 3 t r u e c m } \forall m \hspace { . 3 t r u e c m } \forall i .
90745.png	
90812.png	\begin {array} { l l l } \d G & = & { \cal D } _ 1 { \cal V } ~ ~ ~ , \\ \d H & = & { \cal D } _ 2 { \cal V } ~ ~ ~ , \\ \d B & = & { \cal D } _ 3 { \cal V } ~ ~ ~ , \end {array}
90849.png	\chi ( \mathcal { C } _ h ^ { [ d ] } ) = ( d + 1 - h ) \chi ( \bar \mathcal { J } ^ d _ h ) \, .
90895.png	( \textup { a d j o i n t } ) \otimes ( \textup { a d j o i n t } ) = ( \textup { s i n g l e t } ) \oplus ( \textup { a d j o i n t } ) \oplus ( \textup { a d j o i n t } ) ' \oplus \ldots \; \;
90919.png	\varpi = \omega - \partial \Delta _ 0 ^ { - 1 } P \varpi \; ,
90938.png	H _ { d } ( a _ 0 , a ^ { \dag } _ 0 , g ) = \sum ^ { \infty } _ { n = 0 } E _ { n } ( g ) | n > < n | .
90981.png	
91020.png	
91041.png	\left ( - \frac { 3 } { 2 } , \frac { 3 } { 2 } \right ) \protect
91054.png	\langle T ( x ) \rangle = \frac { 1 } { 2 } i e _ a ^ \mu \eta ^ { a b } \langle \partial _ \mu j _ b ( x ) \rangle - m ~ \langle n ( x ) \rangle
91055.png	
91099.png	\left . \begin {array} { c l l } \mbox { a l o c a l m i n i m u m } & \phi = 0 & V ( 0 ) = 0 \\ \mbox { a l o c a l m a x i m u m } & \phi = \phi _ * & V ( \phi _ * ) = 1 \end {array} \right .
91103.png	\setlength { \unitlength } { 0 . 0 0 8 5 0 0 i n }
